Series Id,Year,Period,Value
CUUR0000SAM,1935,M03,10.2
CUUR0000SAM,1935,M07,10.2
CUUR0000SAM,1935,M10,10.2
CUUR0000SAM,1936,M01,10.2
CUUR0000SAM,1936,M04,10.2
CUUR0000SAM,1936,M07,10.2
CUUR0000SAM,1936,M09,10.2
CUUR0000SAM,1936,M12,10.2
CUUR0000SAM,1937,M03,10.3
CUUR0000SAM,1937,M06,10.3
CUUR0000SAM,1937,M09,10.3
CUUR0000SAM,1937,M12,10.3
CUUR0000SAM,1938,M03,10.3
CUUR0000SAM,1938,M06,10.3
CUUR0000SAM,1938,M09,10.3
CUUR0000SAM,1938,M12,10.3
CUUR0000SAM,1939,M03,10.3
CUUR0000SAM,1939,M06,10.4
CUUR0000SAM,1939,M09,10.4
CUUR0000SAM,1939,M12,10.4
CUUR0000SAM,1940,M03,10.4
CUUR0000SAM,1940,M06,10.3
CUUR0000SAM,1940,M09,10.3
CUUR0000SAM,1940,M12,10.4
CUUR0000SAM,1941,M03,10.4
CUUR0000SAM,1941,M06,10.4
CUUR0000SAM,1941,M09,10.4
CUUR0000SAM,1941,M12,10.5
CUUR0000SAM,1942,M03,10.6
CUUR0000SAM,1942,M06,10.7
CUUR0000SAM,1942,M09,10.8
CUUR0000SAM,1942,M12,10.9
CUUR0000SAM,1943,M03,11.1
CUUR0000SAM,1943,M06,11.2
CUUR0000SAM,1943,M09,11.4
CUUR0000SAM,1943,M12,11.4
CUUR0000SAM,1944,M03,11.5
CUUR0000SAM,1944,M06,11.5
CUUR0000SAM,1944,M09,11.6
CUUR0000SAM,1944,M12,11.7
CUUR0000SAM,1945,M03,11.8
CUUR0000SAM,1945,M06,11.9
CUUR0000SAM,1945,M09,11.9
CUUR0000SAM,1945,M12,12.0
CUUR0000SAM,1946,M03,12.2
CUUR0000SAM,1946,M06,12.4
CUUR0000SAM,1946,M09,12.7
CUUR0000SAM,1946,M12,13.0
CUUR0000SAM,1947,M01,13.2
CUUR0000SAM,1947,M02,13.3
CUUR0000SAM,1947,M03,13.3
CUUR0000SAM,1947,M04,13.4
CUUR0000SAM,1947,M05,13.5
CUUR0000SAM,1947,M06,13.5
CUUR0000SAM,1947,M07,13.5
CUUR0000SAM,1947,M08,13.6
CUUR0000SAM,1947,M09,13.7
CUUR0000SAM,1947,M10,13.8
CUUR0000SAM,1947,M11,13.8
CUUR0000SAM,1947,M12,13.9
CUUR0000SAM,1948,M01,14.0
CUUR0000SAM,1948,M02,14.0
CUUR0000SAM,1948,M03,14.1
CUUR0000SAM,1948,M04,14.3
CUUR0000SAM,1948,M05,14.3
CUUR0000SAM,1948,M06,14.3
CUUR0000SAM,1948,M07,14.5
CUUR0000SAM,1948,M08,14.5
CUUR0000SAM,1948,M09,14.5
CUUR0000SAM,1948,M10,14.6
CUUR0000SAM,1948,M11,14.7
CUUR0000SAM,1948,M12,14.7
CUUR0000SAM,1949,M01,14.8
CUUR0000SAM,1949,M02,14.8
CUUR0000SAM,1949,M03,14.8
CUUR0000SAM,1949,M04,14.8
CUUR0000SAM,1949,M05,14.8
CUUR0000SAM,1949,M06,14.8
CUUR0000SAM,1949,M07,14.8
CUUR0000SAM,1949,M08,14.9
CUUR0000SAM,1949,M09,14.9
CUUR0000SAM,1949,M10,14.9
